State,Average Income 2023 ($),Region,Division,Total Area (sq mi),Land Area (sq mi),Water Area (sq mi),Population 2023,GDP 2023 ($Mil)
Alabama,60660,South,East South Central,52420,50645,1775,5117673,304936
Alaska,98190,West,Pacific,665384,570641,94743,736510,68056
Arizona,82660,West,Mountain,113990,113594,396,7473027,522767
Arkansas,63250,South,West South Central,53179,52035,1143,3069463,178606
California,89870,West,Pacific,163695,155779,7916,39198693,3870379
Colorado,96640,West,Mountain,104094,103642,452,5901339,529627
Connecticut,92240,Northeast,New England,5543,4842,701,3643023,345912
Delaware,86340,South,South Atlantic,2489,1949,540,1036423,98069
Florida,72200,South,South Atlantic,65758,53625,12133,22904868,1600811
Georgia,72420,South,South Atlantic,59425,57513,1912,11064432,831828
Hawaii,97360,West,Pacific,10932,6423,4509,1441387,110265
Idaho,73910,West,Mountain,83569,82643,926,1971122,120958
Illinois,87820,Midwest,East North Central,57914,55519,2395,12642259,1098346
Indiana,76910,Midwest,East North Central,36420,35826,593,6880131,499503
Iowa,80860,Midwest,West North Central,56273,55857,416,3218414,254032
Kansas,84830,Midwest,West North Central,82278,81759,520,2951500,228232
Kentucky,61980,South,East South Central,40408,39486,921,4550595,279707
Louisiana,57650,South,West South Central,52378,43204,9174,4588071,314989
Maine,75740,Northeast,New England,35380,30843,4537,1399646,93270
Maryland,102000,South,South Atlantic,12406,9707,2699,6217062,515607
Massachusetts,106500,Northeast,New England,10554,7800,2754,7066568,736296
Michigan,76960,Midwest,East North Central,96714,56539,40174,10083356,673818
Minnesota,90340,Midwest,West North Central,86936,79627,7309,5753048,483162
Mississippi,55060,South,East South Central,48432,46923,1509,2943172,151147
Missouri,78290,Midwest,West North Central,69707,68742,965,6208038,430114
Montana,79220,West,Mountain,147040,145546,1494,1131302,73255
Nebraska,89190,Midwest,West North Central,77348,76824,524,1987864,181285
Nevada,81310,West,Mountain,110570,109781,791,3214363,245949
New Hampshire,98780,Northeast,New England,9349,8953,397,1402199,114101
New Jersey,91590,Northeast,Mid-Atlantic,8723,7354,1368,9379642,806665
New Mexico,60980,West,Mountain,121590,121298,292,2121164,135010
New York,81600,Northeast,Mid-Atlantic,5455,47126,7429,19737367,2172010
North Carolina,68610,South,South Atlantic,53819,48618,5201,10881189,788103
North Dakota,76960,Midwest,West North Central,70698,69001,1698,789047,76043
Ohio,73770,Midwest,East North Central,44826,40861,3965,11824034,884834
Oklahoma,67330,South,West South Central,69899,68595,1304,4063882,256689
Oregon,88740,West,Pacific,98379,95988,2391,4253653,318884
Pennsylvania,79820,Northeast,Mid-Atlantic,46054,44743,1312,13017721,976361
Rhode Island,81860,Northeast,New England,1545,1034,511,1103429,77574
South Carolina,69100,South,South Atlantic,32020,30061,1960,5387830,327420
South Dakota,81740,Midwest,West North Central,77116,75811,1305,918305,74034
Tennessee,72700,South,East South Central,42144,41235,909,7148304,523032
Texas,79060,South,West South Central,268596,261232,7365,30727890,2583866
Utah,101200,West,Mountain,84897,82170,2727,3443222,281329
Vermont,85190,Northeast,New England,9616,9217,400,648708,43534
Virginia,96490,South,South Atlantic,42775,39490,3285,8734685,719897
Washington,93440,West,Pacific,71298,66456,4842,7857320,807865
West Virginia,60410,South,South Atlantic,24230,24038,192,1770495,102152
Wisconsin,79690,Midwest,East North Central,65496,54158,11339,5930405,428447
Wyoming,77200,West,Mountain,97813,97093,720,585067,51991
